113.139,
111.753,
112.176,
111.481,
120.739,
13166.2,
13136.3,
756.354,
10397,
31582.9,
3289.53,
25690.3,
3040.13,
18520.2,
65880.5,
16100.8,
49533.2,
11.506,
11769.5,
11838.9,
9719.04,
10746.8,
11934.4,
15726.6,
15493.8,
